title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Perawadanak / පෙරවදනක්  – SANUKA,misc,Sanuka Wickramasinghe,2017,260,{},"පෙරවදනක් වී…
මගේ කතාවට
පටුන ලියන්නට…හීන එවා…
පිටුවෙන් පිටුවට
ගෙතූ කතාවට
හිස් පිටුවක් ඉඩ තබා ගියා…

අරුත බිදී… ගිය
අන්දරයක රස
කිමැයි කියා…
නොදැනෙන හින්දා…
තවත් තියෙනවා….
හිතේ… පොතේ… ඉඩ
මෙතෙක් ලියූ…
කිවිදියම පතා…

පැතූ කතාවේ…
නිමක් දකින්නට…
උපන් බවේ පින මදි හින්දා…

බලා හිදිමි මතු බවයක හෝ…
පසුවදන ලියන්නට…
එතැයි කියා…
පෙරවදනක් වී…
මගේ කතාවට
පටුන ලියන්නට…හීන එවා…
පිටුවෙන් පිටුවට
ගෙතූ කතාවට
හිස් පිටුවක් ඉඩ තබා ගියා…",3167667,si,si,si
Jambu Ale - Dumiya ft BigHarsha  Neo,rap,Dumiya,2015,139,{},"Rap (Dumiya)
මගේ චූටි මැනික කිවුවේ මට චූටි පිස්සු කතා
දැක්කත් කෙල්ලෙක් ඇස්වහගෙන යන්නේ පාරේ අහක බලා
පැනිය දාපු කාලේ කිව්වේ ටජ්මහලක් හදමු කියා
ගමේ එවුන් වටවෙලා මට නෙළුවා බොන්න ඕනෙ කියා

Week days බොසා බැනුම් weekend එකේ ඔයා බැනුම්
ගමේ එවුං කිව්වත් කිවුම් අපි දෙන්නා කමු කොන්ඩ කැවුම්
ගන්න බෑ දීලා පවුම් චූටි මගේ බෝලේ රවුම්
පර්ස් එකත් හිස් වෙලානේ ...........

මම සමාන කරන්නෑ කෙල්ලන් ඔයාට
ඔයාව සතුටු කලේ දීලා මම පගාව
පුදුම කලේ දවසක් දා දීලා මම බබාව
ඒකත් දැං මගේ අතිං පැනලා මගේ සීමාව

Hook (Biggie)
ජම්බු අලේ ඔයා දැක්ක මම සිහිනෙක
අපි අත් අල්ලං හිටියා මල් යහනක
ජම්බෝලේ වගේ ඔයා පෙරලෙද්දි මගෙ ලඟ
ආසයි ඔයාව ලඟින් තියාගන්න
Rap (Dumiya)
ෆෝන් එකේ එකසිය ගානට මැසේජ්
කොච්චර තිබ්බත් මදි මට පැකේජ්
කොන්ඩෙ කැඩුවම මතක් වෙන්නේ ක්‍රිශ්නා කොටේජ්
ආදරේ කලේ ඇත්තට කරගෙන කාලේ මැනේජ්

බිසව නුබයි කෙල්ලේ රජදහනේ
ආදර තෙල් තියෙන්නේ මගේ පහනේ
ඔයා නැති ලෝකයක් මට නෑනේ
අනේ කාලේ වනේ වාසේ මගේ මැනික ඔයා පනේ

කෙල්ල මගේ ජම්බු අලේ - එයාගේ ටිකිරි මොලේ
යන්න හිතුනා නට්ටේ කට්ට ගලවන් රෝස මගේ
දවසක් දා රෑ හිනෙන් සිහින ලොවක උන්න වෙලේ
ඇහැරුනාම තමයි දැක්කේ උම්මා එකක් නේද බොලේ

Hook (Biggie)
ජම්බු අලේ ඔයා දැක්කා මම සිහිනෙක
අපි අත් අල්ලං හිටියා මල් යහනක
ජම්බෝලේ වගේ ඔයා පෙරලෙද්දි මගෙ ලඟ
ආසයි මම ඔයාව ලඟින් තියාගන්න

Bridge (Dumiya)
ඔය සුදු මූන දැක්කත් ඇති මට
ආදරේට මිරිකන්නේ මගේ අත
වෙනකාගෙන්වත් ඕනේ නෑ අත හිත
ඔබේ විස්වාසය ලෝකයක් වගෙයි
මට මට ආදරෙයි
මට මට හැමදාමත්
මට මට පිපාසෙට
ඔයා තමයි මගේ වරුසාව
Hook (Biggie)
ජම්බු අලේ ඔයා මම දැක්කා සිහිනෙක
අපි අත් අල්ලං හිටියා මල් යහනක
ජම්බෝලේ වගේ පෙරලි පෙරලි ඉද්දි මගෙ ලඟ
ආසයි ආසයි ලඟින් තියාගන්න",3173747,si,si,si
Mala Manasin,rap,Ravin B,2017,2012,"{""Prasa Kg""}","[Hook : Ravin B]
කඳුලින් රවටන්න බෑ දැන්
අඳුරින් මිදී මන්
සුසුමන් වියැකි ගියාදෙන්
නුඹ ගැන රිදුම් දුන්නේ දුකින් එදා
මං මුලා වුනා

[Verse 2: Ravin B]
මලමනසින් ඇවිද්දා මංමුළා වෙන්
මගදෙපස මතක් කරයි උඹෙයි මගෙයි කතාවන්
අපි ගැනම මවාගත් ලොකෙම කුඩු උනාමත්
උඹ හැමදාමත්ම හෙව්වෙ වැරැද්දට සමාවක්
සින්දෙ නැ මං පියාපත් උඹ ඉගිලෙන්න ගියාමත්
උඹ හදවත පිට වික්කා මම සින්නක්කර ලියාගත්
මට නින්දා කරයි වෙලාවත් මම උඹ හින්දා කෙලෝගත්
මට ඔච්චම්කරයි හිනාවත් උඹ සෙල්ලම් කරේ හිතාමත්
දැන් දිනකර පැයුවත් මට විනකර ඇ ගියත්
මම හාරපු නිදන් වලේ බැහැගන වෙන එකෙක් හැරුවත්
මතක් වෙද්දිත් අච්චාරුවක් අපි පැද්ද ඔරු පාරුවත්
කතක් මොකටද දුකක් එක්ක හොදයි අත්මාරුවක්
පෙර පිනකට බේරුණේ දැන්වත් උඹ සෙනසුරු මාරුවක්
යනකොට බොක මට මතක් උනා උඹ දුන්නු හාදුවක්
වැඩකට ගන්න බැරි බැග්එකක් උඹෙ නැහැනෙ කාදුවක්
හදවත රිද්දුව හින්දයි කිව්වෙ මේක උනෙ නැහැ පාඩුවක්
[Hook : Ravin B]
කඳුලින් රවටන්න බෑ දැන්
අඳුරින් මිදී මන්
සුසුමන් වියැකි ගියාදෙන්
නුඹ ගැන රිදුම් දුන්නේ දුකින් එදා
මං මුලා වුනා

[Verse 2: Prasa Kg]
මං මුලාවෙලා නොදැනිම තිබ්බේ දක්කා
ඔයා හිනාවුන නිසා දැන් ගොනා වික්කා
නයා පෙන්නලා ආදරේට කෙරුවෙ ඇයි නිගා
දැන් කමක් නෑ උබ කාගෙ අතින් ගත්තත් හු..ආ
බැන්ද රැප මකා ගන්ඩ නෑ දුකක් මට
බොරුවෙන් පිරිල තිබ්බ නිසාද  හිර කට
ගලුවෙ පෙරීලා තෙමීලා නෙත - යට
හිත පැලුවෙ නැ,,  පැලුවෙ සිරා වුනු නිසා යකො  මට
බොරුවක් එප, රැවටෙන්නෑ මන් ලඳෙ, වැටෙන්න ලිඳෙ, මන් කාවෙ මදෙ,දැන් තරු මැද්දෙ හඳෙ
දුකයි සතුටයි වෙලා තිබුනෙ, ව්ඳවන ගමන් වින්දෙ,අඩවන ගමන් ඉම්බෙ, රිදවන ගමන් බින්දෙ
මුලීන්, ගලවන්නෙ නෑ, එත් විඳවන්නෙත් නැ ,අයෙත් කරගන්නෙ නැ ලන්
පලිනන් අරගන්නේ,, නැ මන්..ඇත්ත සල්ලි වලට  ගන්ඩ බරි බඩුවක් නෑ බන්

[Hook : Ravin B]
කඳුලින් රවටන්න බෑ දැන්
අඳුරින් මිදී මන්
සුසුමන් වියැකි ගියාදෙන්
නුඹ ගැන රිදුම් දුන්නේ දුකින් එදා
මං මුලා වුනා",3188889,si,si,si
Denne Na Samawa දෙන්නේ නැ සමාව - U-Low Yung zack  capo,rap,UC Gang,2016,51,"{U-LoW,""Yung Zack""}","[Intro: U-Low]
Yeah yeah
YSL bitch
Score
Ohuu
Yeah yeah

[Hook : U-Low]
Hey hey hey hey
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව yeahh

[Verse 1 : Yung Zack]
වරදක් කරොත් කාටත් සමාවක් නෑ
තේරූමි ගනින් එකයි ඇත්ත කරැත් පිලිගන්නේ නැ
කිසි වෙනසක් නැ එදත් අදත් එක දේමයි
කවුරූත් තේරූමි ගන්නේ නැ තේරෙන මනසකුත් නෑ
රටේ වෙන මේ වැඩ (වැඩ) නපුරෙමයි සැමවිට (සැමවිට)
දැන දැන පවඋඩ (පවඋඩ) සොයන්නේම මුතුඇට (මුතුඇට)
නැති වෙන සැමවිට (සැමවිට) උබේ මිනිසත්කම (මිනිසත්කම)
වැටහෙන දවසට (වැටහෙන) ලැබෙන්නේ නැ විසදුම (විසදුම)
ඉපදි මැරෙන ලොවක (ලොවක) වටනමයි තොපේ සිතම (සිතම)
කවුරැත් යන්නේ එක නැවක එත් නවතින්නැ එක තැනම (තැනම)
නවතින්නැ එක තැනම (තැනම) උමතුවේ මුලු ලොවම (ලොවම)
උමතුවේ මුලු ලොවම (ලොවම) උමතුවක් මුලු ලොවම yeah
[Hook : U-Low]
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව yeahh

[Verse 2 : CapO]
උඩට යද්දි වැඩියි කකුලෙන් ඇදිල්ල, පාට පාට (බොරැ) හින මැවිල්ල
අදාලම නෑ බොරැ රැගිල්ල, කාට කාටත් මගේ මැද ඇගිල්ල
පසුතැවිල්ල, වෙන්නේ යාලු නැත්තන් මනුස්සකමක්
කල හොද විතරමයි යනකොට ගෙනියන්නෑ වෙන දෙයක්
එකම ලෙයක්, ජාති බේද පක්ෂ පාට අදාළ නැ
දැන්ම මරා ගන්නේ ඇයි? කවුරැත් මැරෙන් නැත්තෙත් නැ
මරා ගන්නැ, සල්ලි කෙල්ලෝ හින්දා මරා ගන්නේ නැ
සමාවක් නැ, වරදක් නමි කාටත් සමාවක්ම නෑ
දෙන්නෑ සමාව yeah දෙවියෝ නේමේ මම දෙන්න සමාව
දෙන්නෑ සමාව oh blah බොරැව හිතේ තියන් එපා හිනාව
දෙන්නෑ සමාව Bang Bang පාඩුවේ ඉන්නන නැ වැඩි කතාව
දෙන්නෑ සමාව Capo සා**ට නමි දෙවියෝ දෙන්නැ සමාව

[Hook : U-Low]
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව
දෙන්නේ නැ සාමව
දෙවියෝ දෙන්නේ නැ සමාව yeahh
[Outro : U-Low]
Chill house (uc)
Trap ma nigga, Trap ma nigga, Trap ma nigga
YSL bitch
Bruh",3191058,si,si,si
Somiye,rap,Wagmee,2017,719,"{""Izzy iznu"",Illdill}","[Intro]
GGM Baby
Ill DIll Wagmee  420 (yey ye yeeh)
Izzy


[ Chorus: Izzy ]
උලත් එකයි පිලත් එකයි
ඇතත් නැතත් කොහෙත් එකයි
අපි හැමදා ලංකවේ
අපි ඉන්නේ හැමදා සොමියේ

සොමියේ සොමියේ සොමියේ
අපි ඉන්නේ හැමදා සොමියේ  (සොමියේ 4x)
අපි ඉන්නේ හැමදා
සොමියේ සොමියේ සොමියේ (4x)

සද්දේ කෝ සද්දේ කොල්ලෝ සද්දේ කෝ
සද්දේ කෝ කෙල්ලෝ සද්දේ කෝ
සද්දේ කෝ ලංකාව සද්දේ කෝ
සද්දේ කෝ සද්දේ සද්දේ සද්දේ කෝ
[ Verse 1: Wagmee ]
ජීවිතේම සතුටෙන්ම ඉටිපන්දම සේ ජීවිතේ
මගේ මග ඇත්තට පැත්ත ඇසෙන් දැක්කේ අනාගතේ
කැරකෙන්නේ හිතුමතේ ඇතුලත කරුවල අන්දකාරේ
හින පසු පස යන්නේ හතරවට සමදානේ

වාරේ හිතන පතන දැනෙන කලේ එක්ක මාරු වේ
ගලපලා දෙන්නේ සටපට ගාලා මැණික වගේ දිලිසෙන්නේ
තාලේ වැද යන්නේ ප්‍රතිපල එල දෙවියෝ ගාව
මුනට එන අය සාදරෙන් පිළිගන්නේ මන් ගාව

රටාව කතාව එල කතාව සතාව
අතන මෙතන දෙකට නැමිලා නටන ලතාව
ඇදගෙන යන්නේ උඩටම මම මම මාව
පැහැදිලි ගමනක මුල සිට ඇත්ත මන් ගාව

[ Chorus: Izzy ]
උලත් එකයි පිලත් එකයි
ඇතත් නැතත් කොහෙත් එකයි
අපි හැමදා ලංකවේ
අපි ඉන්නේ හැමදා සොමියේ

සොමියේ සොමියේ සොමියේ
අපි ඉන්නේ හැමදා සොමියේ  (සොමියේ 3x)
අපි ඉන්නේ හැමදා
සොමියේ සොමියේ සොමියේ (2x)
සද්දේ කෝ සද්දේ කොල්ලෝ සද්දේ කෝ
සද්දේ කෝ කෙල්ලෝ සද්දේ කෝ
සද්දේ කෝ ලංකාව සද්දේ කෝ
සද්දේ කෝ සද්දේ සද්දේ සද්දේ කෝ


[ Verse 2: Ill Dill ]
උලත් එකයි පිලත් එකයි මට නම් මල්ලි මලත් එකයි
ජීවත් වෙන්නේ මලත් එකයි හිතේ ඇත්තේ එකම දෙයයි
දිවි ගෙවන්නේ  තාලේ එකයි කාලේ මේකයි
ආලේ මේකයි වරම යනම එනම කාලේ සමගයි

කලට යලට කවට මිනිසා මෙලව දෙලෙවෝ අතර පස් වේ
කොතන කොනක හිටියත් බොරුව නැමැති මිනිසා දිස් වේ
පිවිස ඇත්තේ එලම විසම ගතිම තාලේ
හතරයි විසේ  දිස්නේ මිනිසා පස්වේ

කරපු දේවල් විතරයි මෙලව ඇත්තේ
දුවන්න වෙනෙන් බොරුවෙන් දුවන උන්ට දැනිලා රස්නේ
හතරයි විස්ස දෙන්න යන්නේ රස්නේ දුවන අස්සේ
රෑ තිස්සේ හැමදාම යන්නේ කොළඹ අස්සේ හතරයි විස්ස බැස්සේ හතලිස් හතර එක්ක ගල්කිස්සේ

[ Chorus: Izzy ]
උලත් එකයි පිලත් එකයි
ඇතත් නැතත් කොහෙත් එකයි
අපි හැමදා ලංකවේ
අපි ඉන්නේ හැමදා සොමියේ
සොමියේ සොමියේ සොමියේ
අපි ඉන්නේ හැමදා සොමියේ  (සොමියේ 3x)
අපි ඉන්නේ හැමදා

[Outro]
සද්දේ කෝ  සද්දේ කොල්ලෝ සද්දේ කෝ
සද්දේ කෝ කෙල්ලෝ සද්දේ කෝ
සද්දේ කෝ ලංකාව සද්දේ කෝ
සද්දේ කෝ සද්දේ සද්දේ සද්දේ කෝ",3196273,si,si,si
Adu Kule Para Haththa අඩු කුලේ පර හැත්ත,rap,Wasthi Productions,2017,5781,"{""Anushka Udana"",""Dulaj Jayatillake""}","// Dulaj's Rap
ලොකු සීන් නැති මගේ මිතුරු සේනාංක
වෙන්න දෙනවා ආසයි මතුදාක
බඩ වැඩි හින්දම gym හැමදාම
තඩි මට හිනා වෙන අඩු කුලේ පර හැත්ත
පර හැත්ත අඩු කුලේ පර හැත්ත
තඩි මට හිනා වෙන අඩු කුලේ පර හැත්ත
පර හැත්ත අඩු කුලේ පර හැත්ත
තඩි මට හිනා වෙන අඩු කුලේ පර හැත්ත

// Chorus
අලුයම් හෝරාවේ ඇතින් නැග ආයේ
හිරු නෑ පායලා
ඒ මායම් මනසේ
පායම් හිරුවත්
අද මා නාවලා
ඒ නැතිනම් ආයේ
පුරවන් සරුවත් මාව මත්වෙලා
බිද යන්නම් මා මා
තනි මනසින් මා
අද යන්නම් මා
ඇති දෙවියන් නැති දෙවියන් ඔබලා
විදගන්නම් මා
ඇති දෙවියන් නැති දෙවියන් ඔබ බැරුවා මා
සැනසෙන්නම් මා
තව සීමා පැතුමන් සදා
// Anushka's Rap
මම රොබින්
උඔ කඩු දෙකේ නසීයර්
දැනගනින් උඹට අන්දනවා මම බ්‍රේසියර්
Tv fm මට දාලා දුන්නට බැරියර්
කොල්ලොනේ ගමෙන් බොනවනේ සැපේනේ
Youtube නැත්තම් තාමත් වලෙනේ
පර හැත්ත අඩු කුලේ පර හැත්ත
මල් සිංදු පැකේජ් ගහන අඩු කුලේ පර හැත්ත
පර හැත්ත අඩු කුලේ පර හැත්ත
තඩි මට හිනා වෙන අඩු කුලේ පර හැත්ත

// Chorus
අලුයම් හෝරාවේ ඇතින් නැග ආයේ
හිරු නෑ පායලා
ඒ මායම් මනසේ
පායම් හිරුවත්
අද මා නාවලා
ඒ නැතිනම් ආයේ
පුරවන් සරුවත් මාව මත්වෙලා
බිද යන්නම් මා මා
තනි මනසින් මා
අද යන්නම් මා
ඇති දෙවියන් නැති දෙවියන් ඔබලා
විදගන්නම් මා
ඇති දෙවියන් නැති දෙවියන් ඔබ බැරුවා මා
සැනසෙන්නම් මා
තව සීමා පැතුමන් සදා",3235486,si,si,si
Ran Ran Ran,rb,Irajw,2008,99,"{Sangeeth,Krishan,""Static K9""}","රන් රන් රන් රන්වන් රන්වන් සේල ඇඳ
රන් දෝලාවට නගිනවද
ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් බඹර නද

මේ කොයිබින් මට ඇහෙනවද
හංකිති කැවෙනා ප්රේමයට
නෙරිය කොනේ මඩ ඕනෙමද

රන් රන් රන් රන්වන් රන්වන් සේල ඇඳ
රන් දෝලාවට නගිනවද
ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් බඹර නද
මේ කොයිබින් මට ඇහෙනවද
වෙල් ඉපනැල්ලේ නැලවෙන්න
වලාපොටින් සඳ වහනවද

රන් රන් රන් රන්වන් රන්වන් සේල ඇඳ
රන් දෝලාවට නගිනවද
ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් ගුම් බඹර නද
මේ කොයිබින් මට ඇහෙනවද
දිළෙන සමනළ තටුවලට
මගේ උණුසුම මදි වෙයිද",3288783,si,si,si
Galana Ganga ගලන ගඟ ,rap,Ravi Jay,2017,7036,"{""Charitha Attalage""}","Charitha:
නීල දෑස හා දොඩවන්නම්
වළලු හඩට මම මත් වෙන්නම්
නීල වරල මා සිඹ ගන්නම්
හීන මවා මට කතා කරන්

ගලන ගඟක රළ වාගේ..
නිමාවක් නෑනේ..
ඔබේ රූ වරුණේ...

සිතිජයක ඉමක් ගානේ
නිමාවක් නෑනේ..
ඔබේ රූ වරුණේ...

Ravi Jay:
ලෞකික සැප කාලය කා දැමීමක්
නිර්වානෙට පිවිසෙන
පංච ස්කන්ධයක අස්ථිර ගතිය
මෙනෙහි මෙනෙහි
මං තාපසෙක්ම විය නුඹ දකින
පෙර ඔයාගෙ ළපටි තඹර දෙකොපුල
තුහීන වැටි දිලිසෙයි ඝන අඳුර මත
ඇසට නොපෙනෙන පර්වතෙක
සුන්දර බව විඳපු මට ඔයාගේ රුව දැක
බිඳුනා මගේ සම වැදි සිටි
දැහැන මෙතු කලක් කැළඹිලා
සම්මා දිඨ්ඨිය මගේ අද නතර වෙලා
ඔයාගේ නෙතු මුල
මගේ හේතුඵල
ගොළු වෙලා අන්ධව අතර මග කිමද
ගදකුටියෙන් හිමීට බැස සීලය පසෙක දමා
විදනසින්ව රූපයක සොබා
එතෙර වෙන්න මං ගිය සසර මඟ පෙරට
ඔයා ඇවිත් අද තෘෂ්ණාවක් වෙලා
Charitha:
නීල දෑස හා දොඩවන්නම්
වළලු හඩට මම මත් වෙන්නම්
නීල වරල මා සිඹ ගන්නම්
හීන මවා මට කතා කරන්

ගලන ගඟක රළ වාගේ..
නිමාවක් නෑනේ..
ඔබේ රූ වරුණේ...

සිතිජයක ඉමක් ගානේ
නිමාවක් නෑනේ..
ඔබේ රූ වරුණේ...",3308119,si,si,si
Athage Vilapaya,rap,Manakkalpith,2017,786,"{""Chamath Sangeeth""}","//Sandeep Jayalath
ගජිදානෝ තේජ ලීලා හේල දීපා සරසවනා
දේවිදානේ ප්‍රානේ පාගා දළ ඔනා මනු රකුසා
වේඩිපාලා බිම බාවා නැතුවා කරුණා...
ඇතුනේ මා නුබ ගාවා මැරුනේ මිනිසා...

//Makakkalpitha
මිනිස් වර්ගයට ඇති ජාති කුල මල
මට නැත ඒවා මම අයිති ඇත් කුලයට
පාදය ඇස බිලිවුනා උණඩයකට
එනමුදු කරදර නෑ උබලා හට
උබලාට ඔන වුනේ මගේ ගජමුතු
අමුතු විදිහේ මරණයක් මට හිමිවුනු
අවසන් ගමන් යමි වෛයිර නොකරමි
මතුමතු ජිති ලක්දේරන නොපතමි
පුංචිකාලේ මම හරි අඩම්බරයේන්
හිටියේ මගේ දළ දේක මුව දරන්
කපන් යන බව දන්නවා නම්
මම පතන්නේ නැ දළ රත්තරං
හරි හැටියට නොපේනුනාත් ලොකයා
අඩිය තිබ්බේ මමනම් හරි විදිහට
හිරි හැර කලේ නැ මම නුබලාට
පාඩුවේ හිටියා හැංගිලා කැලයක
//Sandeep Jayalath
ගජිදානෝ තේජ විලා හේල දීපා සරසවනා
දේවිදානේ ප්‍රානේ පාගා දළ ඔනා මනු රකුසා
වේඩිපාලා බිම බාවා නැතුවා කරුණා...
ඇතුනේ මා නුබ ගාවා මැරුනේ මිනිසා...",3375144,si,si,si
Marunu Hithe | මැරුණු හිතේ,pop,Anushka Udana Liyanage,2017,43,{},"සීරුනු හදවත පෙලා
ආඩම්බර කම් එපා
රෑ අදුරේ මා දවා
ආගන්තුක කම් එපා
යලි සිහිවේවි රිදවුම් දිදී රෑ පුරා
රෑ හාදකම් යලි නෑ…
ඔබ ගාවින්ම මිහිදන්න
ගීතේ තියා..
සමුගන්න බෑ හිත නෑ

මැරුණු හිතේ… ඉඩ ඉල්ලා…
නෑවිත් හිදින්නම් සොයා…
පැහැදුල් කතා……
නෑසී ගියා…

ලංවී… දැවටී මාගේ…
උන්නා… ඒ කාලේ…
මතකයි ආදරෙන්
සැනසුනා…

මැරුණු හිතේ… ඉඩ ඉල්ලා…
නෑවිත් හිදින්නම් සොයා…
පැහැදුල් කතා……
නෑසී ගියා…
මං තනියෙන් වාගේ…
දැනෙනා මේ හැන්දෑවේ…
ඔබ නෑ දැන් දුරයී…
වෙන්වෙලා…

මැරුණු හිතේ… ඉඩ ඉල්ලා…
නෑවිත් හිදින්නම් සොයා…
පැහැදුල් කතා……
නෑසී ගියා…

මැරුණු හිතේ… ඉඩ ඉල්ලා…
නෑවිත් හිදින්නම් සොයා…
පැහැදුල් කතා……
නෑසී ගියා…",3375158,si,si,si
ඔබ ඒනවානම් |Oba Enawanam,rap,"Hasini Samue, T DiLy Tharindu",2017,232,"{""Hasini Samue"",""T DiLy Tharindu"",""Hasini Samue / T DiLy Tharindu""}","//Hasini Samue
මල් පාර ලග ඉන්න හැන්ගි හොරා
පේම්පාට මනමාල කම් නම් ඒපා
මා ගව රැදුනා ඒ මතකේ සදා
ලංවේන්න බැ සැමදා හැන්ගි හොරා

ඔබ ඒනවානම් හැමදා වැට ලග මං ඉන්නම්
කථා කලා නම් හොරහින් බලලා ඉගි දේනම්
ඔයා මගේ නම් ඔබේ වේලා මං ලග ඉන්නම්
සදා පතනනම් මහාට ආදරේ දේනවානම්

//T DiLy Tharindu
මල්පාරක් හදලා වරැසාවක්
තේමි තේමි හරි මම ගහානම් හයේ පාරක්
ලං වේමු අපි තොල් පේති ගාවන්
මට බයයි මිනිස්සු හදයි කථාවක්
මට බැහැ බලන්න ඔය ඇස්දේක
Fly butterfly truets මගේ බඩ යට
පටන් ගත්තා වගේ වගේ ඉවර කරනේත් මම
නිළිය ඔයි මේක මගේ පිටපත
ඉර අතහැරලා යමුද හඳ ඒකක්
රස්නේට වඩා දැන් ඔනේ සීතල
ඒදා වගේ රතු ඩොට් ඒපා මට
යහළුවෝ හිනා වුනා බල බල
ලංවුනා වැඩි ඒක නම් මරු
ඔයා වගේ කෙල්ලේ තම නැනේ මට හුරු
ඇයි හදිස්සි තව පොඩ්ඩක් ඉමු
අදනම් වේනවා මට දන්න කොටු කොටු
//Hasini Samue
වේන් වෙන්න නම් බැනේ මේ සිත්තම සදා
පේම් සුවද මා ගාව විසිරි ගියා
රැඳුනාට කම් නැ මේ මනමාල ඔයා
මල් පාරේ මං ඉන්නවා

කට කාර මං කතුරක් වගේ
ලග ඉන්න කන් දේපලයි වගේ
අහාන් ඉන්න නම් බැරි වේයි වගේ
කටනම් සැරයි බය වේයි වගේ ඔයා

//T DiLy Tharindu
ඔය රූපේ නළවන තාලේ
දැක්ක දවසේ ඉදන්න මම කෙල්ලේ කලේ අලේ
ඔය හුස්ම වැටේන පාරක් ගානේ
කො මම බෙල්ලට දැම්ම ඒ මලේ
ඔය සළුපිලි විසිරේයි හනිකට
අපිට වඩා සයනය කියයි අපි ගැන
මම නැති තැන යන්න ඒපා කිසි තැන
මටත් වඩා මම හොයනවා නුබ ගැන

//Hasini Samue
මල් පාර ලග ඉන්න හැන්ගි හොරා
පේම්පාට මනමාල කම් නම් ඒපා
මා ගව රැදුනා ඒ මතකේ සදා
ලංවේන්න බැ සැමදා හැන්ගි හොරා
ඔබ ඒනවානම් හැමදා වැට ලග මං ඉන්නම්
කථා කලා නම් හොරහින් බලලා ඉගි දේනම්
ඔයා මගේ නම් ඔබේ වේලා මං ලග ඉන්නම්
සදා පතනනම් මහාට ආදරේ දේනවානම්",3404613,si,si,si
Ashawari,rb,Ill-Noize,2017,74,{},"ආදර අඹරෝරෙදි ඔබ මා මග හැර ගියදා
කදුලැලි සයුරෝරෙහි කාලය ගිලී ගියා
මේ සදකැල්මවත් මගෙ දුක දැක්කනම් එදා
විදවන්න තිබුනා මට ඔබ සිහිකර මෙදා

ආශාවරී ඔබේ නම පවා මියුරුයි කියා සිතුවත් එදා
ආශාවරී ඔබේ තරම් වියරුයි කියා සිතන්නවත් මට බෑ මෙදා

ලස්සන දවසක සවසක හමුවී ඒ විසිතුරු උයනේ
උනුසුම විද විද සුවසේ පෙරලී හිද මා තුරුලේ
හිනැහුනු තරමට ඔබගේ
ගත මා ලගමුත් හිත ඈතක බව නම් නෑ දැනුනේ

ආශාවරී ඔබේ නම පවා මියුරුයි කියා සිතුවත් එදා
ආශාවරී ඔබේ තරම් වියරුයි කියා සිතන්නවත් මට බෑ මෙදා

අවරට යන හිරු සද වාගෙද මා දුටුවේ
වෙරළට එන රළ ආපසු යන බවවත් නෑ දුටුවේ
පහසම පමණද පැතුවේ
මා අත අත්හැර අතින් අතට යනෙනා ළදුනේ
ආශාවරී ඔබේ නම පවා මියුරුයි කියා සිතුවත් එදා
ආශාවරී ඔබේ තරම් වියරුයි කියා සිතන්නවත් මට බෑ මෙදා",3411686,si,si,si
